,ball_1,ball_2,ball_3,ball_4,ball_5,star
2011130,12,17,46,42,38,8
2011131,24,13,47,37,21,7
2011132,2,38,44,35,42,9
2011133,38,2,13,32,20,10
2011134,18,47,11,2,30,5
2011135,17,8,23,12,37,2
2011136,44,48,13,33,12,7
2011137,25,43,18,22,3,7
2011138,37,41,27,17,12,10
2011139,45,37,22,33,34,5
2011140,46,33,31,49,18,1
2011141,39,16,6,10,21,5
2011142,47,31,16,3,39,1
2011143,11,24,1,15,2,9
2011144,29,2,42,49,4,2
2011145,31,6,49,34,26,1
2011146,43,47,38,36,30,5
2011147,32,35,31,48,8,1
2011148,14,43,26,30,28,8
2011149,48,29,1,25,16,1
2011150,42,14,21,33,48,1
2011151,41,9,37,38,34,5
2011152,42,23,13,35,26,5
2011153,27,42,33,45,37,2
2011154,7,10,28,11,12,8
2011155,36,43,42,23,28,4
2011156,39,41,16,31,36,5
2011157,32,35,17,28,2,2
2012001,3,36,30,16,24,9
2012002,10,23,2,43,34,5
2012003,1,6,12,10,8,8
2012004,34,15,26,25,32,4
2012005,9,7,44,36,23,7
2012006,1,38,19,49,29,8
2012007,39,36,29,47,38,8
2012008,21,9,33,13,42,4
2012009,36,23,1,31,17,4
2012010,39,44,48,20,25,6
2012011,2,23,8,30,48,5
2012012,23,12,47,15,18,6
2012013,22,40,1,35,32,8
2012014,16,5,49,43,2,7
2012015,38,32,10,17,9,3
2012016,15,49,24,13,29,3
2012017,27,19,12,37,15,3
2012018,11,12,46,32,36,6
2012019,23,9,22,24,36,5
2012020,11,36,10,22,31,1
2012021,49,48,5,17,47,6
2012022,34,31,9,3,35,5
2012023,43,33,39,11,31,10
2012024,8,7,19,4,27,1
2012025,45,41,33,8,23,1
2012026,14,27,11,17,35,4
2012027,2,24,3,39,27,8
2012028,31,30,28,34,17,3
2012029,6,39,31,22,16,7
2012030,2,40,4,44,37,5
2012031,48,25,16,46,14,10
2012032,13,7,31,36,43,9
2012033,32,14,49,23,13,1
2012034,10,28,4,11,15,4
2012035,8,14,43,37,48,5
2012036,48,8,18,13,11,8
2012037,36,14,49,29,13,6
2012038,15,20,45,17,4,9
2012039,16,25,1,26,2,9
2012040,33,23,3,19,39,2
2012041,36,40,27,38,11,8
2012042,46,19,45,42,47,8
2012043,26,14,31,33,2,10
2012044,49,27,15,29,19,1
2012045,1,22,45,40,3,1
2012046,2,21,13,1,16,2
2012047,34,5,3,20,24,3
2012048,41,3,48,31,18,10
2012049,33,9,34,45,24,6
2012050,44,15,20,30,29,7
2012051,48,22,10,2,37,4
2012052,39,22,32,18,4,4
2012053,35,26,29,3,38,1
2012054,21,10,37,8,11,9
